[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:05] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:06] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
